1   3.896608
2   2.003299
3   1.335863
4   1.001745
5   0.824909
6   0.688663
7   0.607075
8   0.530966
9   0.488358
10  0.439344
11  0.411036
12  0.376792
13  0.347800
14  0.322952
15  0.301420
16  0.282575
17  0.265967
18  0.251217
19  0.238191
20  0.226079
21  0.185639
22  0.177150
23  0.175437
24  0.166923
25  0.165629
26  0.158555
27  0.158133
28  0.151691
29  0.151459
30  0.146011
31  0.145862
32  0.141305
33  0.137050
34  0.133009
35  0.129239
36  0.125605
37  0.122213
38  0.119021
39  0.115954
40  0.113049
